Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,VOLUME ,VALUE ,No of trades 
7-May-2021,"1,449.00","1,459.25","1,439.90","1,444.40","1,440.95","1,446.50","1,451.22",1190019,1726980907,68255
6-May-2021,"1,435.80","1,448.45","1,431.00","1,428.40","1,441.00","1,444.40","1,440.21",1464006,2108478969,77672
5-May-2021,"1,406.00","1,431.90","1,403.40","1,402.90","1,429.65","1,428.40","1,418.06",1819256,2579817199,94103
4-May-2021,"1,434.00","1,434.00","1,400.05","1,423.95","1,403.50","1,402.90","1,410.70",3194977,4507163598,131753
3-May-2021,"1,477.00","1,477.00","1,421.00","1,491.65","1,423.70","1,423.95","1,433.79",3945733,5657341732,142010
30-Apr-2021,"1,500.00","1,516.55","1,471.00","1,506.80","1,489.85","1,491.65","1,493.26",3691399,5512200579,111986
29-Apr-2021,"1,524.00","1,527.50","1,497.00","1,508.85","1,504.35","1,506.80","1,510.30",1927546,2911181129,63568
28-Apr-2021,"1,505.00","1,514.90","1,491.70","1,495.10","1,509.00","1,508.85","1,504.73",1037771,1561564468,37985
27-Apr-2021,"1,485.00","1,503.55","1,482.00","1,479.85","1,498.00","1,495.10","1,494.21",1145908,1712228045,42363
26-Apr-2021,"1,470.00","1,489.75","1,465.15","1,461.45","1,478.95","1,479.85","1,479.58",1020499,1509912900,39416
23-Apr-2021,"1,478.00","1,496.90","1,451.60","1,480.85","1,468.00","1,461.45","1,475.87",1726070,2547450634,67099
22-Apr-2021,"1,530.00","1,530.00","1,473.15","1,522.90","1,481.85","1,480.85","1,488.42",2200432,3275175034,109173
20-Apr-2021,"1,524.20","1,560.00","1,510.00","1,518.70","1,522.45","1,522.90","1,536.47",1789104,2748897844,74872
19-Apr-2021,"1,525.00","1,532.45","1,500.10","1,549.05","1,520.60","1,518.70","1,514.13",1439975,2180303158,95183
16-Apr-2021,"1,529.80","1,559.80","1,529.80","1,538.55","1,545.00","1,549.05","1,549.46",1501276,2326160735,85369
